LOAD_ZONE	TIMEPOINT	ev_bau_mw
Oahu	2102007170	7.94301311542
Oahu	2102008061	7.94301311542
Oahu	2102027170	3.27226002361
Oahu	2102028061	3.27226002361
Oahu	2102047170	1.50040345975
Oahu	2102048061	1.50040345975
Oahu	2102067170	5.49507100725
Oahu	2102068061	5.49507100725
Oahu	2102087170	20.5415122262
Oahu	2102088061	20.5415122262
Oahu	2102107170	14.4155788824
Oahu	2102108061	14.4155788824
Oahu	2102127170	11.419173067
Oahu	2102128061	11.419173067
Oahu	2102147170	14.1589156912
Oahu	2102148061	14.1589156912
Oahu	2102167170	18.0283899002
Oahu	2102168061	18.0283899002
Oahu	2102187170	25.2052630775
Oahu	2102188061	25.2052630775
Oahu	2102207170	22.5441853876
Oahu	2102208061	22.5441853876
Oahu	2102227170	16.1496750003
Oahu	2102228061	16.1496750003
Oahu	2104007091	7.94301311542
Oahu	2104007100	7.94301311542
Oahu	2104027091	3.27226002361
Oahu	2104027100	3.27226002361
Oahu	2104047091	1.50040345975
Oahu	2104047100	1.50040345975
Oahu	2104067091	5.49507100725
Oahu	2104067100	5.49507100725
Oahu	2104087091	20.5415122262
Oahu	2104087100	20.5415122262
Oahu	2104107091	14.4155788824
Oahu	2104107100	14.4155788824
Oahu	2104127091	11.419173067
Oahu	2104127100	11.419173067
Oahu	2104147091	14.1589156912
Oahu	2104147100	14.1589156912
Oahu	2104167091	18.0283899002
Oahu	2104167100	18.0283899002
Oahu	2104187091	25.2052630775
Oahu	2104187100	25.2052630775
Oahu	2104207091	22.5441853876
Oahu	2104207100	22.5441853876
Oahu	2104227091	16.1496750003
Oahu	2104227100	16.1496750003
Oahu	2106007051	7.94301311542
Oahu	2106008150	7.94301311542
Oahu	2106027051	3.27226002361
Oahu	2106028150	3.27226002361
Oahu	2106047051	1.50040345975
Oahu	2106048150	1.50040345975
Oahu	2106067051	5.49507100725
Oahu	2106068150	5.49507100725
Oahu	2106087051	20.5415122262
Oahu	2106088150	20.5415122262
Oahu	2106107051	14.4155788824
Oahu	2106108150	14.4155788824
Oahu	2106127051	11.419173067
Oahu	2106128150	11.419173067
Oahu	2106147051	14.1589156912
Oahu	2106148150	14.1589156912
Oahu	2106167051	18.0283899002
Oahu	2106168150	18.0283899002
Oahu	2106187051	25.2052630775
Oahu	2106188150	25.2052630775
Oahu	2106207051	22.5441853876
Oahu	2106208150	22.5441853876
Oahu	2106227051	16.1496750003
Oahu	2106228150	16.1496750003
Oahu	2108007060	7.94301311542
Oahu	2108007301	7.94301311542
Oahu	2108027060	3.27226002361
Oahu	2108027301	3.27226002361
Oahu	2108047060	1.50040345975
Oahu	2108047301	1.50040345975
Oahu	2108067060	5.49507100725
Oahu	2108067301	5.49507100725
Oahu	2108087060	20.5415122262
Oahu	2108087301	20.5415122262
Oahu	2108107060	14.4155788824
Oahu	2108107301	14.4155788824
Oahu	2108127060	11.419173067
Oahu	2108127301	11.419173067
Oahu	2108147060	14.1589156912
Oahu	2108147301	14.1589156912
Oahu	2108167060	18.0283899002
Oahu	2108167301	18.0283899002
Oahu	2108187060	25.2052630775
Oahu	2108187301	25.2052630775
Oahu	2108207060	22.5441853876
Oahu	2108207301	22.5441853876
Oahu	2108227060	16.1496750003
Oahu	2108227301	16.1496750003
Oahu	2110007130	7.94301311542
Oahu	2110007221	7.94301311542
Oahu	2110027130	3.27226002361
Oahu	2110027221	3.27226002361
Oahu	2110047130	1.50040345975
Oahu	2110047221	1.50040345975
Oahu	2110067130	5.49507100725
Oahu	2110067221	5.49507100725
Oahu	2110087130	20.5415122262
Oahu	2110087221	20.5415122262
Oahu	2110107130	14.4155788824
Oahu	2110107221	14.4155788824
Oahu	2110127130	11.419173067
Oahu	2110127221	11.419173067
Oahu	2110147130	14.1589156912
Oahu	2110147221	14.1589156912
Oahu	2110167130	18.0283899002
Oahu	2110167221	18.0283899002
Oahu	2110187130	25.2052630775
Oahu	2110187221	25.2052630775
Oahu	2110207130	22.5441853876
Oahu	2110207221	22.5441853876
Oahu	2110227130	16.1496750003
Oahu	2110227221	16.1496750003
Oahu	2112007041	7.94301311542
Oahu	2112007140	7.94301311542
Oahu	2112027041	3.27226002361
Oahu	2112027140	3.27226002361
Oahu	2112047041	1.50040345975
Oahu	2112047140	1.50040345975
Oahu	2112067041	5.49507100725
Oahu	2112067140	5.49507100725
Oahu	2112087041	20.5415122262
Oahu	2112087140	20.5415122262
Oahu	2112107041	14.4155788824
Oahu	2112107140	14.4155788824
Oahu	2112127041	11.419173067
Oahu	2112127140	11.419173067
Oahu	2112147041	14.1589156912
Oahu	2112147140	14.1589156912
Oahu	2112167041	18.0283899002
Oahu	2112167140	18.0283899002
Oahu	2112187041	25.2052630775
Oahu	2112187140	25.2052630775
Oahu	2112207041	22.5441853876
Oahu	2112207140	22.5441853876
Oahu	2112227041	16.1496750003
Oahu	2112227140	16.1496750003
Oahu	2902007200	29.0564924222
Oahu	2902008061	29.0564924222
Oahu	2902027200	11.9703187189
Oahu	2902028061	11.9703187189
Oahu	2902047200	5.48865539121
Oahu	2902048061	5.48865539121
Oahu	2902067200	20.1016272744
Oahu	2902068061	20.1016272744
Oahu	2902087200	75.1433096823
Oahu	2902088061	75.1433096823
Oahu	2902107200	52.7339124928
Oahu	2902108061	52.7339124928
Oahu	2902127200	41.7727014759
Oahu	2902128061	41.7727014759
Oahu	2902147200	51.7950078277
Oahu	2902148061	51.7950078277
Oahu	2902167200	65.9500074983
Oahu	2902168061	65.9500074983
Oahu	2902187200	92.203868352
Oahu	2902188061	92.203868352
Oahu	2902207200	82.4693277426
Oahu	2902208061	82.4693277426
Oahu	2902227200	59.0774435909
Oahu	2902228061	59.0774435909
Oahu	2904007091	29.0564924222
Oahu	2904007220	29.0564924222
Oahu	2904027091	11.9703187189
Oahu	2904027220	11.9703187189
Oahu	2904047091	5.48865539121
Oahu	2904047220	5.48865539121
Oahu	2904067091	20.1016272744
Oahu	2904067220	20.1016272744
Oahu	2904087091	75.1433096823
Oahu	2904087220	75.1433096823
Oahu	2904107091	52.7339124928
Oahu	2904107220	52.7339124928
Oahu	2904127091	41.7727014759
Oahu	2904127220	41.7727014759
Oahu	2904147091	51.7950078277
Oahu	2904147220	51.7950078277
Oahu	2904167091	65.9500074983
Oahu	2904167220	65.9500074983
Oahu	2904187091	92.203868352
Oahu	2904187220	92.203868352
Oahu	2904207091	82.4693277426
Oahu	2904207220	82.4693277426
Oahu	2904227091	59.0774435909
Oahu	2904227220	59.0774435909
Oahu	2906007051	29.0564924222
Oahu	2906008170	29.0564924222
Oahu	2906027051	11.9703187189
Oahu	2906028170	11.9703187189
Oahu	2906047051	5.48865539121
Oahu	2906048170	5.48865539121
Oahu	2906067051	20.1016272744
Oahu	2906068170	20.1016272744
Oahu	2906087051	75.1433096823
Oahu	2906088170	75.1433096823
Oahu	2906107051	52.7339124928
Oahu	2906108170	52.7339124928
Oahu	2906127051	41.7727014759
Oahu	2906128170	41.7727014759
Oahu	2906147051	51.7950078277
Oahu	2906148170	51.7950078277
Oahu	2906167051	65.9500074983
Oahu	2906168170	65.9500074983
Oahu	2906187051	92.203868352
Oahu	2906188170	92.203868352
Oahu	2906207051	82.4693277426
Oahu	2906208170	82.4693277426
Oahu	2906227051	59.0774435909
Oahu	2906228170	59.0774435909
Oahu	2908007301	29.0564924222
Oahu	2908008240	29.0564924222
Oahu	2908027301	11.9703187189
Oahu	2908028240	11.9703187189
Oahu	2908047301	5.48865539121
Oahu	2908048240	5.48865539121
Oahu	2908067301	20.1016272744
Oahu	2908068240	20.1016272744
Oahu	2908087301	75.1433096823
Oahu	2908088240	75.1433096823
Oahu	2908107301	52.7339124928
Oahu	2908108240	52.7339124928
Oahu	2908127301	41.7727014759
Oahu	2908128240	41.7727014759
Oahu	2908147301	51.7950078277
Oahu	2908148240	51.7950078277
Oahu	2908167301	65.9500074983
Oahu	2908168240	65.9500074983
Oahu	2908187301	92.203868352
Oahu	2908188240	92.203868352
Oahu	2908207301	82.4693277426
Oahu	2908208240	82.4693277426
Oahu	2908227301	59.0774435909
Oahu	2908228240	59.0774435909
Oahu	2910007180	29.0564924222
Oahu	2910007221	29.0564924222
Oahu	2910027180	11.9703187189
Oahu	2910027221	11.9703187189
Oahu	2910047180	5.48865539121
Oahu	2910047221	5.48865539121
Oahu	2910067180	20.1016272744
Oahu	2910067221	20.1016272744
Oahu	2910087180	75.1433096823
Oahu	2910087221	75.1433096823
Oahu	2910107180	52.7339124928
Oahu	2910107221	52.7339124928
Oahu	2910127180	41.7727014759
Oahu	2910127221	41.7727014759
Oahu	2910147180	51.7950078277
Oahu	2910147221	51.7950078277
Oahu	2910167180	65.9500074983
Oahu	2910167221	65.9500074983
Oahu	2910187180	92.203868352
Oahu	2910187221	92.203868352
Oahu	2910207180	82.4693277426
Oahu	2910207221	82.4693277426
Oahu	2910227180	59.0774435909
Oahu	2910227221	59.0774435909
Oahu	2912007041	29.0564924222
Oahu	2912007310	29.0564924222
Oahu	2912027041	11.9703187189
Oahu	2912027310	11.9703187189
Oahu	2912047041	5.48865539121
Oahu	2912047310	5.48865539121
Oahu	2912067041	20.1016272744
Oahu	2912067310	20.1016272744
Oahu	2912087041	75.1433096823
Oahu	2912087310	75.1433096823
Oahu	2912107041	52.7339124928
Oahu	2912107310	52.7339124928
Oahu	2912127041	41.7727014759
Oahu	2912127310	41.7727014759
Oahu	2912147041	51.7950078277
Oahu	2912147310	51.7950078277
Oahu	2912167041	65.9500074983
Oahu	2912167310	65.9500074983
Oahu	2912187041	92.203868352
Oahu	2912187310	92.203868352
Oahu	2912207041	82.4693277426
Oahu	2912207310	82.4693277426
Oahu	2912227041	59.0774435909
Oahu	2912227310	59.0774435909
Oahu	3702008061	57.4340948346
Oahu	3702008170	57.4340948346
Oahu	3702028061	23.6609570938
Oahu	3702028170	23.6609570938
Oahu	3702048061	10.8490711705
Oahu	3702048170	10.8490711705
Oahu	3702068061	39.7335903601
Oahu	3702068170	39.7335903601
Oahu	3702088061	148.530934559
Oahu	3702088170	148.530934559
Oahu	3702108061	104.235724226
Oahu	3702108170	104.235724226
Oahu	3702128061	82.5694052537
