LOAD_ZONE	TIMEPOINT	ev_bau_mw
Oahu	2020010200	5.83845408484
Oahu	2020010201	3.7851119915
Oahu	2020010202	2.40525095753
Oahu	2020010203	1.51912591308
Oahu	2020010204	1.10286066272
Oahu	2020010205	1.62663002938
Oahu	2020010206	4.03911202243
Oahu	2020010207	9.6035937215
Oahu	2020010208	15.0988893287
Oahu	2020010209	14.0710904207
Oahu	2020010210	10.5960665289
Oahu	2020010211	8.26363878405
Oahu	2020010212	8.39358020309
Oahu	2020010213	9.80378879256
Oahu	2020010214	10.4074081149
Oahu	2020010215	11.2734803463
Oahu	2020010216	13.2516370207
Oahu	2020010217	16.3813531961
Oahu	2020010218	18.52694551
Oahu	2020010219	17.8851340388
Oahu	2020010220	16.5709396866
Oahu	2020010221	14.7351167013
Oahu	2020010222	11.8707012823
Oahu	2020010223	8.5665290181
Oahu	2020020200	5.83845408484
Oahu	2020020201	3.7851119915
Oahu	2020020202	2.40525095753
Oahu	2020020203	1.51912591308
Oahu	2020020204	1.10286066272
Oahu	2020020205	1.62663002938
Oahu	2020020206	4.03911202243
Oahu	2020020207	9.6035937215
Oahu	2020020208	15.0988893287
Oahu	2020020209	14.0710904207
Oahu	2020020210	10.5960665289
Oahu	2020020211	8.26363878405
Oahu	2020020212	8.39358020309
Oahu	2020020213	9.80378879256
Oahu	2020020214	10.4074081149
Oahu	2020020215	11.2734803463
Oahu	2020020216	13.2516370207
Oahu	2020020217	16.3813531961
Oahu	2020020218	18.52694551
Oahu	2020020219	17.8851340388
Oahu	2020020220	16.5709396866
Oahu	2020020221	14.7351167013
Oahu	2020020222	11.8707012823
Oahu	2020020223	8.5665290181
Oahu	2020030200	5.83845408484
Oahu	2020030201	3.7851119915
Oahu	2020030202	2.40525095753
Oahu	2020030203	1.51912591308
Oahu	2020030204	1.10286066272
Oahu	2020030205	1.62663002938
Oahu	2020030206	4.03911202243
Oahu	2020030207	9.6035937215
Oahu	2020030208	15.0988893287
Oahu	2020030209	14.0710904207
Oahu	2020030210	10.5960665289
Oahu	2020030211	8.26363878405
Oahu	2020030212	8.39358020309
Oahu	2020030213	9.80378879256
Oahu	2020030214	10.4074081149
Oahu	2020030215	11.2734803463
Oahu	2020030216	13.2516370207
Oahu	2020030217	16.3813531961
Oahu	2020030218	18.52694551
Oahu	2020030219	17.8851340388
Oahu	2020030220	16.5709396866
Oahu	2020030221	14.7351167013
Oahu	2020030222	11.8707012823
Oahu	2020030223	8.5665290181
Oahu	2020040200	5.83845408484
Oahu	2020040201	3.7851119915
Oahu	2020040202	2.40525095753
Oahu	2020040203	1.51912591308
Oahu	2020040204	1.10286066272
Oahu	2020040205	1.62663002938
Oahu	2020040206	4.03911202243
Oahu	2020040207	9.6035937215
Oahu	2020040208	15.0988893287
Oahu	2020040209	14.0710904207
Oahu	2020040210	10.5960665289
Oahu	2020040211	8.26363878405
Oahu	2020040212	8.39358020309
Oahu	2020040213	9.80378879256
Oahu	2020040214	10.4074081149
Oahu	2020040215	11.2734803463
Oahu	2020040216	13.2516370207
Oahu	2020040217	16.3813531961
Oahu	2020040218	18.52694551
Oahu	2020040219	17.8851340388
Oahu	2020040220	16.5709396866
Oahu	2020040221	14.7351167013
Oahu	2020040222	11.8707012823
Oahu	2020040223	8.5665290181
Oahu	2020050200	5.83845408484
Oahu	2020050201	3.7851119915
Oahu	2020050202	2.40525095753
Oahu	2020050203	1.51912591308
Oahu	2020050204	1.10286066272
Oahu	2020050205	1.62663002938
Oahu	2020050206	4.03911202243
Oahu	2020050207	9.6035937215
Oahu	2020050208	15.0988893287
Oahu	2020050209	14.0710904207
Oahu	2020050210	10.5960665289
Oahu	2020050211	8.26363878405
Oahu	2020050212	8.39358020309
Oahu	2020050213	9.80378879256
Oahu	2020050214	10.4074081149
Oahu	2020050215	11.2734803463
Oahu	2020050216	13.2516370207
Oahu	2020050217	16.3813531961
Oahu	2020050218	18.52694551
Oahu	2020050219	17.8851340388
Oahu	2020050220	16.5709396866
Oahu	2020050221	14.7351167013
Oahu	2020050222	11.8707012823
Oahu	2020050223	8.5665290181
Oahu	2020060200	5.83845408484
Oahu	2020060201	3.7851119915
Oahu	2020060202	2.40525095753
Oahu	2020060203	1.51912591308
Oahu	2020060204	1.10286066272
Oahu	2020060205	1.62663002938
Oahu	2020060206	4.03911202243
Oahu	2020060207	9.6035937215
Oahu	2020060208	15.0988893287
Oahu	2020060209	14.0710904207
Oahu	2020060210	10.5960665289
Oahu	2020060211	8.26363878405
Oahu	2020060212	8.39358020309
Oahu	2020060213	9.80378879256
Oahu	2020060214	10.4074081149
Oahu	2020060215	11.2734803463
Oahu	2020060216	13.2516370207
Oahu	2020060217	16.3813531961
Oahu	2020060218	18.52694551
Oahu	2020060219	17.8851340388
Oahu	2020060220	16.5709396866
Oahu	2020060221	14.7351167013
Oahu	2020060222	11.8707012823
Oahu	2020060223	8.5665290181
Oahu	2020070200	5.83845408484
Oahu	2020070201	3.7851119915
Oahu	2020070202	2.40525095753
Oahu	2020070203	1.51912591308
Oahu	2020070204	1.10286066272
Oahu	2020070205	1.62663002938
Oahu	2020070206	4.03911202243
Oahu	2020070207	9.6035937215
Oahu	2020070208	15.0988893287
Oahu	2020070209	14.0710904207
Oahu	2020070210	10.5960665289
Oahu	2020070211	8.26363878405
Oahu	2020070212	8.39358020309
Oahu	2020070213	9.80378879256
Oahu	2020070214	10.4074081149
Oahu	2020070215	11.2734803463
Oahu	2020070216	13.2516370207
Oahu	2020070217	16.3813531961
Oahu	2020070218	18.52694551
Oahu	2020070219	17.8851340388
Oahu	2020070220	16.5709396866
Oahu	2020070221	14.7351167013
Oahu	2020070222	11.8707012823
Oahu	2020070223	8.5665290181
Oahu	2020080200	5.83845408484
Oahu	2020080201	3.7851119915
Oahu	2020080202	2.40525095753
Oahu	2020080203	1.51912591308
Oahu	2020080204	1.10286066272
Oahu	2020080205	1.62663002938
Oahu	2020080206	4.03911202243
Oahu	2020080207	9.6035937215
Oahu	2020080208	15.0988893287
Oahu	2020080209	14.0710904207
Oahu	2020080210	10.5960665289
Oahu	2020080211	8.26363878405
Oahu	2020080212	8.39358020309
Oahu	2020080213	9.80378879256
Oahu	2020080214	10.4074081149
Oahu	2020080215	11.2734803463
Oahu	2020080216	13.2516370207
Oahu	2020080217	16.3813531961
Oahu	2020080218	18.52694551
Oahu	2020080219	17.8851340388
Oahu	2020080220	16.5709396866
Oahu	2020080221	14.7351167013
Oahu	2020080222	11.8707012823
Oahu	2020080223	8.5665290181
Oahu	2020090200	5.83845408484
Oahu	2020090201	3.7851119915
Oahu	2020090202	2.40525095753
Oahu	2020090203	1.51912591308
Oahu	2020090204	1.10286066272
Oahu	2020090205	1.62663002938
Oahu	2020090206	4.03911202243
Oahu	2020090207	9.6035937215
Oahu	2020090208	15.0988893287
Oahu	2020090209	14.0710904207
Oahu	2020090210	10.5960665289
Oahu	2020090211	8.26363878405
Oahu	2020090212	8.39358020309
Oahu	2020090213	9.80378879256
Oahu	2020090214	10.4074081149
Oahu	2020090215	11.2734803463
Oahu	2020090216	13.2516370207
Oahu	2020090217	16.3813531961
Oahu	2020090218	18.52694551
Oahu	2020090219	17.8851340388
Oahu	2020090220	16.5709396866
Oahu	2020090221	14.7351167013
Oahu	2020090222	11.8707012823
Oahu	2020090223	8.5665290181
Oahu	2020100200	5.83845408484
Oahu	2020100201	3.7851119915
Oahu	2020100202	2.40525095753
Oahu	2020100203	1.51912591308
Oahu	2020100204	1.10286066272
Oahu	2020100205	1.62663002938
Oahu	2020100206	4.03911202243
Oahu	2020100207	9.6035937215
Oahu	2020100208	15.0988893287
Oahu	2020100209	14.0710904207
Oahu	2020100210	10.5960665289
Oahu	2020100211	8.26363878405
Oahu	2020100212	8.39358020309
Oahu	2020100213	9.80378879256
Oahu	2020100214	10.4074081149
Oahu	2020100215	11.2734803463
Oahu	2020100216	13.2516370207
Oahu	2020100217	16.3813531961
Oahu	2020100218	18.52694551
Oahu	2020100219	17.8851340388
Oahu	2020100220	16.5709396866
Oahu	2020100221	14.7351167013
Oahu	2020100222	11.8707012823
Oahu	2020100223	8.5665290181
Oahu	2020110200	5.83845408484
Oahu	2020110201	3.7851119915
Oahu	2020110202	2.40525095753
Oahu	2020110203	1.51912591308
Oahu	2020110204	1.10286066272
Oahu	2020110205	1.62663002938
Oahu	2020110206	4.03911202243
Oahu	2020110207	9.6035937215
Oahu	2020110208	15.0988893287
Oahu	2020110209	14.0710904207
Oahu	2020110210	10.5960665289
Oahu	2020110211	8.26363878405
Oahu	2020110212	8.39358020309
Oahu	2020110213	9.80378879256
Oahu	2020110214	10.4074081149
Oahu	2020110215	11.2734803463
Oahu	2020110216	13.2516370207
Oahu	2020110217	16.3813531961
Oahu	2020110218	18.52694551
Oahu	2020110219	17.8851340388
Oahu	2020110220	16.5709396866
Oahu	2020110221	14.7351167013
Oahu	2020110222	11.8707012823
Oahu	2020110223	8.5665290181
Oahu	2020120200	5.83845408484
Oahu	2020120201	3.7851119915
Oahu	2020120202	2.40525095753
Oahu	2020120203	1.51912591308
Oahu	2020120204	1.10286066272
Oahu	2020120205	1.62663002938
Oahu	2020120206	4.03911202243
Oahu	2020120207	9.6035937215
Oahu	2020120208	15.0988893287
Oahu	2020120209	14.0710904207
Oahu	2020120210	10.5960665289
Oahu	2020120211	8.26363878405
Oahu	2020120212	8.39358020309
Oahu	2020120213	9.80378879256
Oahu	2020120214	10.4074081149
Oahu	2020120215	11.2734803463
Oahu	2020120216	13.2516370207
Oahu	2020120217	16.3813531961
Oahu	2020120218	18.52694551
Oahu	2020120219	17.8851340388
Oahu	2020120220	16.5709396866
Oahu	2020120221	14.7351167013
Oahu	2020120222	11.8707012823
Oahu	2020120223	8.5665290181
Oahu	2022010600	8.75768112726
Oahu	2022010601	5.67766798724
Oahu	2022010602	3.60787643629
Oahu	2022010603	2.27868886963
Oahu	2022010604	1.65429099408
Oahu	2022010605	2.43994504407
Oahu	2022010606	6.05866803364
Oahu	2022010607	14.4053905823
Oahu	2022010608	22.648333993
Oahu	2022010609	21.1066356311
Oahu	2022010610	15.8940997934
Oahu	2022010611	12.3954581761
Oahu	2022010612	12.5903703046
Oahu	2022010613	14.7056831888
Oahu	2022010614	15.6111121724
Oahu	2022010615	16.9102205194
Oahu	2022010616	19.877455531
Oahu	2022010617	24.5720297942
Oahu	2022010618	27.790418265
Oahu	2022010619	26.8277010582
Oahu	2022010620	24.8564095299
Oahu	2022010621	22.102675052
Oahu	2022010622	17.8060519234
Oahu	2022010623	12.8497935272
Oahu	2022020600	8.75768112726
Oahu	2022020601	5.67766798724
Oahu	2022020602	3.60787643629
Oahu	2022020603	2.27868886963
Oahu	2022020604	1.65429099408
Oahu	2022020605	2.43994504407
Oahu	2022020606	6.05866803364
Oahu	2022020607	14.4053905823
Oahu	2022020608	22.648333993
Oahu	2022020609	21.1066356311
Oahu	2022020610	15.8940997934
Oahu	2022020611	12.3954581761
Oahu	2022020612	12.5903703046
Oahu	2022020613	14.7056831888
Oahu	2022020614	15.6111121724
Oahu	2022020615	16.9102205194
Oahu	2022020616	19.877455531
Oahu	2022020617	24.5720297942
Oahu	2022020618	27.790418265
Oahu	2022020619	26.8277010582
Oahu	2022020620	24.8564095299
Oahu	2022020621	22.102675052
Oahu	2022020622	17.8060519234
Oahu	2022020623	12.8497935272
Oahu	2022030600	8.75768112726
Oahu	2022030601	5.67766798724
Oahu	2022030602	3.60787643629
Oahu	2022030603	2.27868886963
Oahu	2022030604	1.65429099408
Oahu	2022030605	2.43994504407
Oahu	2022030606	6.05866803364
Oahu	2022030607	14.4053905823
Oahu	2022030608	22.648333993
Oahu	2022030609	21.1066356311
Oahu	2022030610	15.8940997934
Oahu	2022030611	12.3954581761
Oahu	2022030612	12.5903703046
Oahu	2022030613	14.7056831888
Oahu	2022030614	15.6111121724
Oahu	2022030615	16.9102205194
Oahu	2022030616	19.877455531
Oahu	2022030617	24.5720297942
Oahu	2022030618	27.790418265
Oahu	2022030619	26.8277010582
