LOAD_ZONE	TIMEPOINT	zone_demand_mw
Oahu	2020110200	577.241522241
Oahu	2020110201	540.030860364
Oahu	2020110202	526.622449708
Oahu	2020110203	534.676476373
Oahu	2020110204	600.706258054
Oahu	2020110205	735.105566658
Oahu	2020110206	854.161586808
Oahu	2020110207	930.168944627
Oahu	2020110208	1007.97606423
Oahu	2020110209	1052.89211501
Oahu	2020110210	1075.83931804
Oahu	2020110211	1087.61679327
Oahu	2020110212	1099.67534826
Oahu	2020110213	1106.99825174
Oahu	2020110214	1109.18043029
Oahu	2020110215	1100.76643754
Oahu	2020110216	1083.19600052
Oahu	2020110217	1096.35704177
Oahu	2020110218	1109.7879031
Oahu	2020110219	1039.73107376
Oahu	2020110220	971.575343213
Oahu	2020110221	887.536409408
Oahu	2020110222	777.276867434
Oahu	2020110223	676.736135208
Oahu	2020090200	639.199286246
Oahu	2020090201	591.853550194
Oahu	2020090202	565.407885981
Oahu	2020090203	556.127722683
Oahu	2020090204	571.380933794
Oahu	2020090205	604.14835224
Oahu	2020090206	648.344470843
Oahu	2020090207	755.848071803
Oahu	2020090208	851.799390886
Oahu	2020090209	912.564728605
Oahu	2020090210	942.013771898
Oahu	2020090211	950.472803323
Oahu	2020090212	955.950906347
Oahu	2020090213	959.134234142
Oahu	2020090214	964.612474479
Oahu	2020090215	970.75421134
Oahu	2020090216	972.913870554
Oahu	2020090217	961.395230367
Oahu	2020090218	984.061353642
Oahu	2020090219	987.154741408
Oahu	2020090220	937.143141685
Oahu	2020090221	874.285496789
Oahu	2020090222	782.158757315
Oahu	2020090223	687.534843219
Oahu	2020070200	592.685941735
Oahu	2020070201	552.5844288
Oahu	2020070202	537.46619639
Oahu	2020070203	548.501151456
Oahu	2020070204	609.581485249
Oahu	2020070205	723.879334552
Oahu	2020070206	845.747594055
Oahu	2020070207	933.374791758
Oahu	2020070208	1002.53174021
Oahu	2020070209	1049.17999476
Oahu	2020070210	1085.46825641
Oahu	2020070211	1097.59436941
Oahu	2020070212	1110.26039721
Oahu	2020070213	1109.59662606
Oahu	2020070214	1107.79686428
Oahu	2020070215	1100.53025914
Oahu	2020070216	1088.55038451
Oahu	2020070217	1067.78536003
Oahu	2020070218	1049.73116923
Oahu	2020070219	1087.72925264
Oahu	2020070220	1027.80749747
Oahu	2020070221	935.500877938
Oahu	2020070222	806.174736256
Oahu	2020070223	693.372912331
Oahu	2020050200	556.768905841
Oahu	2020050201	520.570652877
Oahu	2020050202	506.768497129
Oahu	2020050203	519.085818511
Oahu	2020050204	565.90283077
Oahu	2020050205	725.881633042
Oahu	2020050206	849.785832727
Oahu	2020050207	906.220523693
Oahu	2020050208	960.866575231
Oahu	2020050209	1001.7892887
Oahu	2020050210	1017.26748719
