TIMESERIES	ts_period	ts_duration_of_tp	ts_num_tps	ts_scale_to_period
20200202	2020	2.0	12	121.75
20200402	2020	2.0	12	121.75
20200602	2020	2.0	12	121.75
20200802	2020	2.0	12	121.75
20201002	2020	2.0	12	121.75
20201202	2020	2.0	12	121.75
20220206	2022	2.0	12	182.625
20220406	2022	2.0	12	182.625
20220606	2022	2.0	12	182.625
20220806	2022	2.0	12	182.625
20221006	2022	2.0	12	182.625
20221206	2022	2.0	12	182.625
20250210	2025	2.0	12	304.375
20250410	2025	2.0	12	304.375
20250610	2025	2.0	12	304.375
20250810	2025	2.0	12	304.375
20251010	2025	2.0	12	304.375
20251210	2025	2.0	12	304.375
20300214	2030	2.0	12	304.375
20300414	2030	2.0	12	304.375
20300614	2030	2.0	12	304.375
20300814	2030	2.0	12	304.375
20301014	2030	2.0	12	304.375
20301214	2030	2.0	12	304.375
20350218	2035	2.0	12	304.375
20350418	2035	2.0	12	304.375
20350618	2035	2.0	12	304.375
20350818	2035	2.0	12	304.375
20351018	2035	2.0	12	304.375
20351218	2035	2.0	12	304.375
20400222	2040	2.0	12	304.375
20400422	2040	2.0	12	304.375
20400622	2040	2.0	12	304.375
20400822	2040	2.0	12	304.375
20401022	2040	2.0	12	304.375
20401222	2040	2.0	12	304.375
20450126	2045	2.0	12	152.1875
20450226	2045	2.0	12	152.1875
20450326	2045	2.0	12	152.1875
20450426	2045	2.0	12	152.1875
20450526	2045	2.0	12	152.1875
20450626	2045	2.0	12	152.1875
20450726	2045	2.0	12	152.1875
20450826	2045	2.0	12	152.1875
20450926	2045	2.0	12	152.1875
20451026	2045	2.0	12	152.1875
20451126	2045	2.0	12	152.1875
20451226	2045	2.0	12	152.1875
