generation_technology	power_start_mw	power_end_mw	incremental_heat_rate_mbtu_per_mwhr	fuel_use_rate_mmbtu_per_h
AES	67.0	.	.	1284.7
AES	67.0	96.5	15.805	.
AES	96.5	126.0	16.106	.
AES	126.0	155.5	16.407	.
AES	155.5	185.0	16.708	.
Airport_DSG	8.0	.	.	81.64
CC_152	71.162	.	.	569.865296
CC_152	71.162	87.949	5.44607344969	.
CC_152	87.949	113.972	5.7977919917	.
CC_152	113.972	116.985	6.66007899104	.
CC_152	116.985	150.586	7.14949257463	.
CIP_CT	45.0	.	.	714.5
CIP_CT	45.0	113.0	8.91535294118	.
IC_Barge	5.023008	.	.	53.6647207195
IC_Barge	5.023008	16.786392	7.60512564926	.
IC_MCBH	2.7333144	.	.	30.8849831407
IC_MCBH	2.7333144	9.16386	7.55806896997	.
IC_Schofield	2.7333144	.	.	30.8849831407
IC_Schofield	2.7333144	9.16386	7.55806896997	.
Kahe_4	36.3	.	.	390.5
Kahe_4	36.3	48.6	9.041	.
Kahe_4	48.6	60.8	9.221	.
Kahe_4	60.8	73.1	9.402	.
Kahe_4	73.1	85.3	9.582	.
Kahe_5	54.7	.	.	569.7
Kahe_5	54.7	74.6	9.012	.
Kahe_5	74.6	94.5	9.133	.
Kahe_5	94.5	114.4	9.254	.
Kahe_5	114.4	134.3	9.375	.
Kahe_6	54.0	.	.	579.7
Kahe_6	54.0	74.1	9.142	.
Kahe_6	74.1	94.2	9.45	.
Kahe_6	94.2	114.3	9.759	.
Kahe_6	114.3	134.4	10.067	.
Kalaeloa_CC1	67.0	.	.	637.3
Kalaeloa_CC1	67.0	72.8	5.725	.
Kalaeloa_CC1	72.8	78.5	5.832	.
Kalaeloa_CC1	78.5	84.3	5.939	.
Kalaeloa_CC1	84.3	90.0	6.047	.
Kalaeloa_CC2	67.0	.	.	637.3
Kalaeloa_CC2	67.0	72.8	5.725	.
Kalaeloa_CC2	72.8	78.5	5.832	.
Kalaeloa_CC2	78.5	84.3	5.939	.
Kalaeloa_CC2	84.3	90.0	6.047	.
Kalaeloa_CC3	0.0	.	.	0.1
Kalaeloa_CC3	0.0	28.0	8.651	.
Waiau_10	5.9	.	.	234.7
Waiau_10	5.9	16.9	7.904	.
Waiau_10	16.9	27.9	8.529	.
Waiau_10	27.9	38.9	9.155	.
Waiau_10	38.9	49.9	9.78	.
Waiau_3	22.3	.	.	295.5
Waiau_3	22.3	28.4	9.115	.
Waiau_3	28.4	34.5	10.15	.
Waiau_3	34.5	40.5	11.185	.
Waiau_3	40.5	46.6	12.22	.
Waiau_4	22.3	.	.	272.3
Waiau_4	22.3	28.4	10.904	.
Waiau_4	28.4	34.5	11.292	.
Waiau_4	34.5	40.5	11.68	.
Waiau_4	40.5	46.6	12.068	.
Waiau_5	22.5	.	.	273.7
Waiau_5	22.5	30.5	10.364	.
Waiau_5	30.5	38.5	10.84	.
Waiau_5	38.5	46.5	11.316	.
Waiau_5	46.5	54.5	11.791	.
Waiau_6	22.5	.	.	276.2
Waiau_6	22.5	30.3	10.399	.
Waiau_6	30.3	38.0	10.893	.
Waiau_6	38.0	45.8	11.388	.
Waiau_6	45.8	53.5	11.882	.
Waiau_7	27.0	.	.	316.0
Waiau_7	27.0	41.0	9.247	.
Waiau_7	41.0	55.0	9.794	.
Waiau_7	55.0	68.9	10.34	.
Waiau_7	68.9	82.9	10.887	.
Waiau_8	27.0	.	.	314.1
Waiau_8	27.0	41.8	8.971	.
Waiau_8	41.8	56.6	9.358	.
Waiau_8	56.6	71.3	9.746	.
Waiau_8	71.3	86.1	10.133	.
Waiau_9	5.9	.	.	245.3
Waiau_9	5.9	17.7	8.514	.
Waiau_9	17.7	29.4	9.199	.
Waiau_9	29.4	41.2	9.883	.
Waiau_9	41.2	52.9	10.568	.
