generation_technology	investment_period	g_overnight_cost	g_fixed_o_m
CC_152	2021	1615294.85302	17452.3528084
CC_152	2037	1520146.36226	17452.3528084
CentralTrackingPV	2021	2422277.94911	22970.0
CentralTrackingPV	2037	1667969.10185	22970.0
DistPV	2021	3004667.94574	0.0
DistPV	2037	1979421.6992	0.0
IC_Barge	2021	1323517.35692	34214.2214559
IC_Barge	2037	1323510.5144	34214.2214559
IC_MCBH	2021	3075096.99652	33843.8169068
IC_MCBH	2037	2873221.00763	33843.8169068
IC_Schofield	2021	2412880.98656	33843.8169068
IC_Schofield	2037	2254436.87103	33843.8169068
OffshoreWind	2021	5377776.94144	96710.0
OffshoreWind	2037	4150933.48195	96710.0
OnshoreWind	2021	2305328.62536	27400.0
OnshoreWind	2037	2111584.91729	27400.0
